"time_period","time_identifier","geographic_level","country_name","country_code","age_youth_adult","age_summary","ssa_tier_1","learner_home_depriv","apps_level","apps_level_detailed","participation","starts","achievements"
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Total,Total,z,1240,500
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Total,Total,z,240,60
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Total,Total,z,250,110
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Total,Total,z,260,110
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Total,Total,z,240,110
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Total,Total,z,250,110
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Total,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Intermediate Apprenticeship,Total,z,30,40
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Intermediate Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Intermediate Apprenticeship,Total,z,low,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Intermediate Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Intermediate Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Intermediate Apprenticeship,Total,z,low,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Intermediate Apprenticeship,Total,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Intermediate Apprenticeship,Level 2,z,30,40
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Intermediate Apprenticeship,Level 2,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Intermediate Apprenticeship,Level 2,z,low,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Intermediate Apprenticeship,Level 2,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Intermediate Apprenticeship,Level 2,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Intermediate Apprenticeship,Level 2,z,low,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Intermediate Apprenticeship,Level 2,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Advanced Apprenticeship,Total,z,1190,450
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Advanced Apprenticeship,Total,z,230,50
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Advanced Apprenticeship,Total,z,240,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Advanced Apprenticeship,Total,z,250,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Advanced Apprenticeship,Total,z,230,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Advanced Apprenticeship,Total,z,240,90
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Advanced Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Advanced Apprenticeship,Level 3,z,1190,450
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Advanced Apprenticeship,Level 3,z,230,50
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Advanced Apprenticeship,Level 3,z,240,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Advanced Apprenticeship,Level 3,z,250,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Advanced Apprenticeship,Level 3,z,230,100
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Advanced Apprenticeship,Level 3,z,240,90
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Advanced Apprenticeship,Level 3,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Higher Apprenticeship,Total,z,20,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Higher Apprenticeship,Total,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Higher Apprenticeship,Total,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Higher Apprenticeship,Total,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Higher Apprenticeship,Total,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Higher Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Higher Apprenticeship,Total,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Higher Apprenticeship,Level 4,z,20,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Higher Apprenticeship,Level 4,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Unknown,Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Higher Apprenticeship,Level 6,z,low,10
